latitude,longitude,dpc_type,onsite
47.4891057,-122.1723034,Pure DPC,No
31.3355319,-94.7298222,Pure DPC,No
34.833438,-106.682188,Pure DPC,No
40.7499816,-111.8865053,Pure DPC,No
39.6558544,-104.9906425,Hybrid,No
30.3466085,-97.96256419999999,Pure DPC,No
34.8152962,-82.42326179999999,Pure DPC,No
35.43853500000001,-80.872193,Pure DPC,No
43.2102659,-71.4960389,Pure DPC,No
38.3768378,-97.67130089999999,Pure DPC,Yes
26.0852684,-80.37397659999999,Hybrid,No
35.8830151,-78.6467443,Pure DPC,No
39.6348595,-86.0910419,Hybrid,No
32.5388382,-94.76725739999999,Pure DPC,No
40.0361084,-83.01667169999999,Unknown/Other,No
35.5804677,-82.56385449999999,Pure DPC,No
38.3291303,-85.4710344,Pure DPC,No
43.6248276,-116.2200336,Pure DPC,No
39.9658548,-86.15888799999999,Pure DPC,No
38.8423695,-106.1199441,Pure DPC,No
39.9076836,-86.1972645,Pure DPC,No
27.9414992,-82.4679912,Pure DPC,No
44.0637561,-121.3094111,Hybrid,No
42.2835933,-71.3716286,Pure DPC,No
35.9886637,-95.9064286,Pure DPC,No
39.0153708,-95.7787484,Pure DPC,No
34.4454694,-85.7180906,Pure DPC,No
40.05804029999999,-76.3601424,Pure DPC,No
35.5798662,-82.5639771,Pure DPC,No
38.9865692,-95.27723979999999,Pure DPC,No
37.66757399999999,-97.2938879,Pure DPC,No
37.5902472,-77.5081465,Pure DPC,No
37.7236914,-97.4296882,Pure DPC,No
37.9993274,-84.5398701,Pure DPC,No
37.6540869,-84.7541713,Pure DPC,No
37.7099743,-97.2150013,Pure DPC,No
41.5136823,-74.0255392,Pure DPC,No
43.6300656,-70.2812414,Pure DPC,No
37.1292082,-80.41188009999999,Pure DPC,No
39.2296014,-76.8123947,Pure DPC,No
33.5094088,-82.084538,Pure DPC,No
34.5159409,-82.64965240000001,Pure DPC,No
40.347655,-88.7614825,Pure DPC,No
39.995731,-76.182619,Pure DPC,No
34.1992282,-77.9242175,Pure DPC,No
33.7748473,-84.2998341,Pure DPC,No
40.8955414,-85.5147083,Pure DPC,No
41.6245203,-71.4928489,Pure DPC,No
28.1286164,-82.522114,Pure DPC,No
42.238896,-88.0003479,Pure DPC,No
44.5371929,-67.88094,Hybrid,No
35.8596856,-78.63867239999999,Pure DPC,No
32.1176007,-81.25502379999999,Pure DPC,No
41.4593868,-87.0214652,Pure DPC,No
34.62638020000001,-112.4921482,Pure DPC,No
34.1713812,-84.1340566,Pure DPC,No
35.916625,-82.299887,Pure DPC,No
37.2802867,-107.8571696,Pure DPC,No
40.3440321,-80.05249669999999,Unknown/Other,No
32.2424912,-110.8433095,Pure DPC,No
40.3078129,-75.1372306,Pure DPC,No
42.7226489,-83.415787,Pure DPC,No
25.686249,-80.37747829999999,Pure DPC,No
47.6236893,-122.5211322,Pure DPC,No
21.565044,-158.1201553,Pure DPC,No
37.0695594,-93.2210633,Pure DPC,No
30.1948164,-81.38250149999999,Pure DPC,No
26.7546412,-80.93550490000001,Unknown/Other,No
38.9679631,-76.52023559999999,Pure DPC,No
44.085749,-121.3081842,Unknown/Other,No
64.83569849999999,-147.7566155,Unknown/Other,No
32.4695516,-90.1444525,Pure DPC,No
32.90173040000001,-96.9568635,Pure DPC,No
47.6247795,-122.2946709,Pure DPC,No
42.9155321,-83.6219216,Pure DPC,No
38.0519224,-78.6808686,Pure DPC,No
40.05460000000001,-86.0108418,Pure DPC,No
43.1479316,-70.67618929999999,Pure DPC,No
26.4355698,-82.077249,Unknown/Other,No
36.7370739,-119.78499,Pure DPC,No
47.6223552,-122.1843245,Pure DPC,No
42.5609306,-83.1710421,Pure DPC,No
30.5874766,-97.66061800000001,Hybrid,No
37.790006,-122.4036761,Pure DPC,No
26.3781887,-81.8099132,Unknown/Other,No
38.211818,-84.2523798,Hybrid,No
